round,full,no_adapt,no_fl,no_twin,no_cl
1,0.8160000000000001,0.8285,0.7885,0.8035,0.7375
2,0.8300000000000001,0.8219999999999998,0.8055000000000001,0.8215,0.7645000000000001
3,0.8285,0.8255000000000001,0.8019999999999999,0.8099999999999999,0.752
4,0.8230000000000001,0.8185,0.808,0.8195,0.749
5,0.8239999999999998,0.8275,0.7945,0.808,0.7190000000000001
6,0.8195,0.8274999999999999,0.7969999999999999,0.8105,0.71
7,0.8184999999999999,0.8234999999999999,0.8019999999999999,0.819,0.7605
8,0.827,0.8230000000000001,0.8025,0.812,0.712
9,0.8265,0.42300000000000004,0.35950000000000004,0.812,0.7915
10,0.8160000000000001,0.41400000000000003,0.36500000000000005,0.8160000000000001,0.72
11,0.8215,0.378,0.4,0.8009999999999999,0.7525000000000001
12,0.8265,0.39299999999999996,0.374,0.8110000000000002,0.7635
13,0.8275,0.41150000000000003,0.38499999999999995,0.8135,0.7064999999999999
14,0.8234999999999999,0.4625,0.46049999999999996,0.817,0.7335
15,0.826,0.4625,0.4625,0.8240000000000001,0.7015
16,0.821,0.4625,0.45999999999999996,0.8109999999999999,0.7575000000000001
17,0.8205,0.4625,0.36750000000000005,0.8164999999999999,0.7205000000000001
18,0.8205,0.462,0.39649999999999996,0.8095000000000001,0.7609999999999999
19,0.818,0.4625,0.457,0.808,0.7885
20,0.82,0.4625,0.45599999999999996,0.8109999999999999,0.728
